year,child,contribution_pp,share_of_parent
2014,CP12,0.01918873719688141,0.02020840779742102
2015,CP01,0.10973969827461504,0.10680333699799612
2015,CP02,-0.04335764645727259,-0.04219750371855395
2015,CP03,0.20293371997013107,0.1975037185539675
2015,CP04,0.005747795277477275,0.00559399857724868
2015,CP05,0.019901325845139095,0.019368815883075898
2015,CP06,0.16671928729700686,0.1622582939921102
2015,CP07,0.2606774667461763,0.25370238634158904
2015,CP08,-0.04794259297919098,-0.046659768479596346
2015,CP09,0.12339486508989321,0.12009312552544797
2015,CP10,-0.012758112060990584,-0.012416736726379123
2015,CP11,0.21383127402222665,0.2081096811744158
2015,CP12,0.028606079386752383,0.027840651878678242
2016,CP01,0.2509798807475271,0.12142555988194706
2016,CP02,0.1393820048514149,0.06743384340666148
2016,CP03,0.11016253344085711,0.053297289253738674
2016,CP04,-0.015686242546719745,-0.007589097492621353
2016,CP05,0.006202729895925143,0.003000917635971196
2016,CP06,0.3035236670559867,0.1468465563850102
2016,CP07,0.6439561401042578,0.3115498127526602
2016,CP08,0.05577330683278382,0.026983457751543802
2016,CP09,-0.11610895218405852,-0.05617420202871955
2016,CP10,0.02286295482299779,0.011061233600357115
2016,CP11,0.5765463069377956,0.2789365343121453
2016,CP12,0.08935006783965262,0.043228094541305856
2017,CP01,0.10955573093873316,0.12729176412929707
2017,CP02,0.01046857351987199,0.012163336229365853
2017,CP03,0.06340581067805205,0.07367060972621353
2017,CP04,-0.0059053491650565134,-0.006861369155027494
2017,CP05,0.06637765847215489,0.0771235714763082
2017,CP06,0.04666759697320204,0.05422263806277721
2017,CP07,0.20448230144584986,0.23758604557909516
2017,CP08,-0.013651326641298147,-0.015861346877854225
2017,CP09,0.06309903929285428,0.07331417496491335
2017,CP10,0.01708333151319761,0.01984896076989912
2017,CP11,0.226972478623157,0.2637171690169083
2017,CP12,0.07211044873303724,0.08378444607810387
2018,CP01,0.2335224617521017,0.10968158446888412
2018,CP02,0.07923171184946261,0.03721380646053808
2018,CP03,0.08389528844531123,0.039404210186530314
2018,CP04,0.07643356589195424,0.03589956422494312
2018,CP05,0.16337245169455533,0.07673330105369956
2018,CP06,0.12331478325021708,0.057918885891494305
2018,CP07,0.33729931357971354,0.15842383159253853
2018,CP08,-0.06165739162510854,-0.028959442945747153
2018,CP09,0.17039236172830585,0.08003043508335075
2018,CP10,0.07707173953138563,0.036199303682183916
2018,CP11,0.5885433663960412,0.2764289502201937
2018,CP12,0.2576748794906009,0.12102557008139077
2019,CP01,0.17204601279824058,0.10799202646883542
2019,CP02,-0.021804499433611284,-0.013686525143338497
2019,CP03,0.10244185995160689,0.06430200776802772
2019,CP04,0.11059399262273176,0.06941904194323982
2019,CP05,0.08482801506379486,0.053245925895481064
2019,CP06,0.17967431365114075,0.11278025523519868
2019,CP07,0.2572341622370652,0.16146400608290024
2019,CP08,0.13505039063610702,0.08477014446887653
2019,CP09,0.13390450853373975,0.0840508826370192
2019,CP10,0.01492920681940977,0.00937095415219588
2019,CP11,0.30581956337742394,0.19196070775364227
2019,CP12,0.11841873040746669,0.0743305727379217
2020,CP01,-0.020131850113919894,0.009169231120575879
2020,CP02,0.002293977939506482,-0.001044812761560036
2020,CP03,-0.12238309630274082,0.05574047536125974
2020,CP04,0.04046426660506513,-0.018429811990796685
2020,CP05,0.027063925526745563,-0.012326506842667168
2020,CP06,-0.11867261832408563,0.054050504992834814
2020,CP07,-0.6225956411009141,0.2835667509748731
2020,CP08,0.00660615504983552,-0.003008832378918752
2020,CP09,-0.1979840851178416,0.09017362161791825
2020,CP10,-0.02532150512460685,0.011532905892629805
2020,CP11,-1.0077582977636217,0.4589925264486073
2020,CP12,-0.15716882735263374,0.07158394756524368
2021,CP01,0.3200944647968055,0.08259628499514905
2021,CP02,0.030407339352505055,0.007846225234472669
2021,CP03,0.29006857952219817,0.07484848910949565
2021,CP04,0.05280414306913462,0.013625434143734667
